clouds,datetime,dewpt,dhi,dni,ghi,max_dhi,max_dni,max_ghi,max_temp,max_temp_ts,max_uv,max_wind_dir,max_wind_spd,max_wind_spd_ts,min_temp,min_temp_ts,precip,precip_gpm,pres,revision_status,rh,slp,snow,snow_depth,solar_rad,t_dhi,t_dni,t_ghi,t_solar_rad,temp,ts,wind_dir,wind_gust_spd,wind_spd,airport
91,2013-01-01,-5.5,27,229,99,91,772,426,5.0,1357016400,0.7000000000000001,288,10.7,1357095600,-2.2,1357099200,0.0,0.0,1011,final,53,1012,0.0,19.0,25,637,5499,2368,598,3.1,1357016400,288,14.6,6.9,LGA
90,2013-01-02,-11.0,27,230,99,92,773,427,1.1,1357156800,0.8,315,10.7,1357156800,-4.4,1357128000,0.0,0.0,1016,final,50,1017,0.0,12.0,36,639,5513,2380,869,-1.8,1357102800,315,10.3,6.1,LGA
74,2013-01-03,-9.7,27,230,100,92,774,429,1.1,1357272000,1.8,292,8.0,1357268400,-3.3,1357221600,0.0,0.0,1019,final,52,1020,0.0,8.0,72,641,5528,2393,1722,-1.0,1357189200,292,10.3,5.0,LGA
42,2013-01-04,-7.4,27,231,100,92,775,431,3.3,1357326000,2.2,262,10.7,1357308000,1.1,1357279200,0.0,0.0,1015,final,49,1016,0.0,4.0,100,643,5545,2407,2404,2.1,1357275600,262,13.9,6.9,LGA
50,2013-01-05,-7.1,27,232,101,92,776,433,6.1,1357416000,2.1,275,12.5,1357401600,1.1,1357387200,0.0,0.0,1021,final,46,1022,0.0,0.0,101,645,5562,2422,2417,3.5,1357362000,275,14.3,4.4,LGA
80,2013-01-06,-3.5,27,233,102,92,777,435,7.8,1357506000,2.4,243,8.0,1357513200,1.7000000000000002,1357470000,0.0,0.0,1017,final,56,1018,0.0,0.0,102,647,5580,2438,2438,4.8,1357448400,243,10.1,4.3,LGA
21,2013-01-07,-4.5,27,233,102,93,779,437,7.2,1357585200,2.3,274,8.0,1357567200,3.3,1357617600,0.0,0.0,1024,final,50,1025,0.0,0.0,102,650,5599,2455,2455,5.2,1357534800,274,9.8,4.2,LGA
46,2013-01-08,-2.7,27,234,103,93,780,440,9.4,1357671600,1.8,224,8.9,1357660800,2.8,1357639200,0.0,0.0,1027,final,55,1028,0.0,0.0,94,652,5619,2473,2263,5.7,1357621200,224,10.0,3.8,LGA
66,2013-01-09,0.1,27,235,104,93,781,442,10.0,1357776000,0.8,174,11.2,1357779600,2.8,1357732800,0.0,0.0,1024,final,62,1025,0.0,0.0,26,655,5640,2493,612,7.1,1357707600,174,15.3,4.2,LGA
50,2013-01-10,-4.2,27,236,105,93,783,445,8.9,1357844400,2.4,287,11.2,1357833600,4.4,1357876800,0.0,0.0,1029,final,45,1030,0.0,0.0,100,657,5661,2513,2399,6.9,1357794000,287,14.5,5.3,LGA
93,2013-01-11,-0.4,27,237,106,93,784,447,7.0,1357963200,0.8,69,5.4,1357920000,2.8,1357894800,11.5,11.5,1026,final,72,1027,0.0,0.0,27,660,5684,2534,650,4.5,1357880400,69,7.2,3.2,LGA
100,2013-01-12,5.6,28,238,106,94,785,450,7.2,1357984800,0.8,62,5.8,1357995600,5.6,1358042400,0.5,0.5,1019,final,93,1020,0.0,0.0,15,663,5707,2556,372,6.6,1357966800,62,6.0,2.9,LGA
100,2013-01-13,6.4,28,239,107,94,787,453,10.0,1358128800,0.8,164,5.8,1358110800,5.6,1358060400,0.0,0.0,1017,final,92,1019,0.0,0.0,11,666,5730,2579,258,7.5,1358053200,164,4.8,2.6,LGA
97,2013-01-14,5.5,28,240,108,94,789,456,12.8,1358179200,0.8,260,8.9,1358186400,3.9,1358222400,0.0,0.0,1018,final,76,1019,0.0,0.0,25,669,5755,2603,590,9.8,1358139600,260,12.4,3.9,LGA
99,2013-01-15,-3.1,28,241,109,94,790,460,3.9,1358283600,0.8,195,6.3,1358254800,2.0,1358240400,4.0,4.0,1024,final,64,1025,0.5,0.0,27,672,5780,2628,653,3.2,1358226000,195,5.6,3.5,LGA
100,2013-01-16,-0.30000000000000004,28,242,111,95,792,463,3.9,1358395200,0.8,175,9.4,1358316000,0.6000000000000001,1358326800,14.5,14.5,1014,final,85,1015,28.5,0.0,11,675,5805,2654,265,1.9,1358312400,175,6.8,3.3,LGA
